pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
Automatic Speech Recognition (ASR),Computer Vision,149,2995,54472
Domain Generalization,Natural Language Processing,149,1744,40996
Question Answering,Sequential,148,10686,6593
Image Retrieval,Natural Language Processing,148,2231,40996
Active Learning,Computer Vision,147,3057,54472
Medical Image Classification,General,147,422,114234
Sequential Recommendation,General,147,554,114234
Sentence Embeddings,Natural Language Processing,147,604,40996
Task 2,General,145,569,114234
Language Modeling,Reinforcement Learning,145,14015,6988
Hallucination,Computer Vision,144,1812,54472
Text Classification,Sequential,144,3582,6593
Activity Recognition,Computer Vision,144,1321,54472
Navigate,Computer Vision,144,1976,54472
Re-Ranking,Natural Language Processing,144,735,40996
Denoising,Graphs,144,7256,12318
Region Proposal,Computer Vision,143,371,54472
MMLU,General,143,340,114234
Outlier Detection,General,142,702,114234
CPU,Natural Language Processing,142,2227,40996
Language Identification,General,142,792,114234
Machine Reading Comprehension,General,142,541,114234
Zero-shot Generalization,Computer Vision,142,567,54472
Information Retrieval,Computer Vision,141,4717,54472
Learning Theory,General,141,850,114234
Fact Checking,General,141,658,114234
Word Embeddings,Computer Vision,140,3946,54472
Interpretable Machine Learning,General,140,534,114234
Time Series Prediction,General,140,475,114234
Scheduling,Reinforcement Learning,140,3100,6988
General Knowledge,General,140,396,114234
Triplet,Natural Language Processing,140,1621,40996
Knowledge Distillation,Graphs,140,4217,12318
Reinforcement Learning (RL),Sequential,139,15057,6593
Image Quality Assessment,General,139,732,114234
Video Object Segmentation,General,138,549,114234
Facial Expression Recognition,General,138,531,114234
Translation,Graphs,138,12219,12318
Pseudo Label,Computer Vision,138,953,54472
Informativeness,General,137,732,114234
Memorization,Computer Vision,137,1078,54472
Articles,Computer Vision,137,3983,54472
Text to Speech,Natural Language Processing,137,1415,40996
Object Localization,Computer Vision,136,615,54472
Data Augmentation,Sequential,136,8321,6593
Change Detection,Computer Vision,136,915,54472
Face Generation,Computer Vision,136,380,54472
Image Segmentation,Graphs,136,5028,12318
Autonomous Driving,Graphs,136,6080,12318
Federated Learning,Graphs,136,6756,12318
Part-Of-Speech Tagging,General,135,985,114234
Document Classification,General,135,634,114234
3D Human Pose Estimation,General,135,664,114234
Motion Planning,General,135,919,114234
Graph Generation,General,135,709,114234
Visual Grounding,General,135,563,114234
text-to-speech,Natural Language Processing,135,1409,40996
Sensitivity,Natural Language Processing,135,2008,40996
Autonomous Vehicles,Natural Language Processing,135,2602,40996
Image Registration,Computer Vision,134,951,54472
GPU,Graphs,134,5609,12318
State Estimation,General,134,1067,114234
Drug Discovery,Computer Vision,134,1336,54472
Object Tracking,Natural Language Processing,134,1960,40996
State Space Models,Natural Language Processing,134,923,40996
reinforcement-learning,Sequential,133,13386,6593
Brain Tumor Segmentation,Computer Vision,133,435,54472
Dynamic Time Warping,Sequential,133,433,6593
Panoptic Segmentation,Computer Vision,133,461,54472
Offline RL,General,133,753,114234
Node Classification,Natural Language Processing,133,1855,40996
EEG,Natural Language Processing,133,2430,40996
Multi-Armed Bandits,General,132,1260,114234
Traffic Prediction,General,132,375,114234
DeepFake Detection,General,132,579,114234
Time Series Analysis,Graphs,132,6730,12318
Descriptive,Natural Language Processing,132,1475,40996
Medical Image Analysis,Natural Language Processing,132,1357,40996
Active Learning,Natural Language Processing,132,3057,40996
Imitation Learning,Reinforcement Learning,131,2115,6988
Open-Ended Question Answering,General,131,787,114234
Link Prediction,Computer Vision,131,1937,54472
Speech Synthesis,Audio,131,1247,488
Fake News Detection,General,131,487,114234
Causal Discovery,General,130,741,114234
Graph Attention,Natural Language Processing,130,1081,40996
World Knowledge,Natural Language Processing,130,809,40996
Diffusion MRI,Computer Vision,129,212,54472
Diversity,Reinforcement Learning,129,9013,6988
Experimental Design,General,129,687,114234
Facial Expression Recognition (FER),General,129,492,114234
Scene Generation,Computer Vision,129,308,54472
global-optimization,General,128,657,114234
text-to-speech,Audio,128,1409,488
Text to Speech,Audio,128,1415,488
Cloud Computing,General,128,581,114234
POS,Natural Language Processing,128,1132,40996
Entity Linking,General,128,725,114234
Text-to-Image Generation,Natural Language Processing,128,1081,40996
3D Object Detection,Natural Language Processing,128,1572,40996
parameter-efficient fine-tuning,Computer Vision,128,932,54472
Image Classification,Sequential,127,10391,6593
MuJoCo,Reinforcement Learning,127,677,6988
Out-of-Distribution Detection,Computer Vision,127,886,54472
Text Detection,General,126,592,114234
Out-of-Distribution Generalization,General,125,513,114234
Synthetic Data Generation,Computer Vision,125,820,54472
Fact Checking,Natural Language Processing,125,658,40996
Uncertainty Quantification,Natural Language Processing,125,2364,40996
Electroencephalogram (EEG),Computer Vision,124,1655,54472
Deep Learning,Graphs,124,9401,12318
Edge-computing,Computer Vision,123,1279,54472
compressed sensing,General,123,988,114234
Unsupervised Anomaly Detection,General,123,506,114234
Reinforcement Learning,Graphs,123,13136,12318
Graph Attention,Computer Vision,123,1081,54472
Multi-Label Classification,Natural Language Processing,123,1193,40996
Adversarial Attack,Natural Language Processing,123,1799,40996
HumanEval,General,123,264,114234
Time Series Forecasting,Sequential,122,1604,6593
Graph Generation,Computer Vision,122,709,54472
Graph Classification,Computer Vision,122,924,54472
Text-To-SQL,General,122,413,114234
Optical Character Recognition (OCR),Natural Language Processing,122,1206,40996
Depth Estimation,Natural Language Processing,122,2446,40996
Drug Discovery,Natural Language Processing,122,1336,40996
Variable Selection,General,121,565,114234
text-classification,Sequential,121,3005,6593
Community Detection,General,121,915,114234
Ethics,General,121,829,114234
Image Super-Resolution,Natural Language Processing,121,1587,40996
Machine Unlearning,General,121,438,114234
GSM8K,Natural Language Processing,121,439,40996
Form,Natural Language Processing,120,1610,40996
Text Generation,Sequential,120,5259,6593
Prognosis,Computer Vision,120,899,54472
Panoptic Segmentation,General,120,461,114234
Real-Time Object Detection,Computer Vision,120,258,54472
Text-to-Video Generation,Computer Vision,120,200,54472
Image Reconstruction,Natural Language Processing,120,2139,40996
Audio Classification,General,119,359,114234
Learning-To-Rank,General,119,748,114234
Speech Emotion Recognition,General,119,429,114234
ARC,General,119,550,114234
Question Generation,General,119,648,114234
Few-Shot Learning,Graphs,119,2939,12318
Neural Architecture Search,Natural Language Processing,119,1908,40996
Semantic Communication,General,119,409,114234
Continuous Control,Computer Vision,118,1159,54472
Property Prediction,Graphs,118,690,12318
Weakly-Supervised Semantic Segmentation,General,118,296,114234
Multi-Object Tracking,General,117,670,114234
Link Prediction,Natural Language Processing,117,1937,40996
Optical Character Recognition,General,117,526,114234
Text to SQL,General,117,399,114234
MUlTI-LABEL-ClASSIFICATION,Natural Language Processing,117,1101,40996
Weather Forecasting,General,116,418,114234
Fraud Detection,General,116,545,114234
Imitation Learning,Natural Language Processing,116,2115,40996
Semantic Textual Similarity,Graphs,116,2360,12318
Motion Synthesis,Computer Vision,116,279,54472
3D geometry,Computer Vision,115,682,54472
Management,Sequential,115,8119,6593
Music Generation,General,115,386,114234
Metric Learning,Computer Vision,115,1645,54472
Philosophy,General,115,753,114234
Matrix Completion,General,114,792,114234
graph construction,General,114,558,114234
Weakly supervised Semantic Segmentation,General,114,284,114234
Dialogue Generation,General,114,594,114234
Management,Graphs,114,8119,12318
Text to Image Generation,Natural Language Processing,114,965,40996
Salient Object Detection,General,113,526,114234
Trajectory Prediction,Computer Vision,113,1003,54472
Model-based Reinforcement Learning,General,113,707,114234
Distributed Optimization,General,113,535,114234
Voice Conversion,General,113,520,114234
Style Transfer,Natural Language Processing,113,1650,40996
Medical Diagnosis,Computer Vision,113,713,54472
Open-Domain Question Answering,General,113,478,114234
Reranking,Natural Language Processing,113,580,40996
Model Selection,Natural Language Processing,113,2047,40996
Prompt Learning,Natural Language Processing,113,675,40996
Atari Games,Computer Vision,112,621,54472
Image Quality Assessment,Computer Vision,112,732,54472
Quantization,Graphs,112,4915,12318
Instruction Following,Computer Vision,112,1133,54472
Question-Generation,General,112,625,114234
feature selection,Natural Language Processing,112,2968,40996
continuous-control,Computer Vision,111,1097,54472
Bayesian Inference,Computer Vision,111,2217,54472
Representation Learning,Sequential,110,10527,6593
Binarization,General,110,430,114234
Few-Shot Image Classification,General,110,352,114234
Decision Making,Sequential,110,12282,6593
Quantum Machine Learning,General,110,699,114234
MRI Reconstruction,Computer Vision,110,441,54472
Machine Reading Comprehension,Natural Language Processing,110,541,40996
Semantic Parsing,Natural Language Processing,110,1176,40996
Computational Efficiency,Graphs,110,4882,12318
Virtual Try-on,Computer Vision,110,275,54472
Semantic Textual Similarity,Computer Vision,109,2360,54472
Medical Image Classification,Computer Vision,109,422,54472
GPU,Sequential,109,5609,6593
Named Entity Recognition (NER),Sequential,109,2836,6593
Colorization,Computer Vision,109,367,54472
Triplet,Graphs,109,1621,12318
Slot Filling,General,109,453,114234
Hate Speech Detection,Natural Language Processing,109,504,40996
Backdoor Attack,General,109,520,114234
RAG,Computer Vision,109,2109,54472
Mixture-of-Experts,Computer Vision,108,1305,54472
Image Manipulation,General,108,426,114234
3D geometry,General,108,682,114234
zero-shot-classification,General,108,421,114234
Dimensionality Reduction,Natural Language Processing,108,3297,40996
Drug Discovery,Graphs,107,1336,12318
whole slide images,Computer Vision,107,745,54472
Neural Network Compression,General,107,193,114234
Fine-Grained Image Classification,General,107,352,114234
Image Augmentation,Computer Vision,107,308,54472
Action Classification,General,107,456,114234
Aspect-Based Sentiment Analysis,General,107,425,114234
motion prediction,General,107,592,114234
Pedestrian Detection,General,107,438,114234
Benchmarking,Graphs,107,5525,12318
Pose Estimation,Graphs,107,4220,12318
Click-Through Rate Prediction,General,106,390,114234
Coreference Resolution,General,106,869,114234
image-classification,Sequential,105,9178,6593
Aspect-Based Sentiment Analysis (ABSA),General,105,465,114234
Real-Time Object Detection,General,105,258,114234
Continual Learning,Reinforcement Learning,105,2629,6988
energy management,General,105,515,114234
Sentence Embedding,General,105,399,114234
Image to 3D,Computer Vision,105,161,54472
Retrieval-augmented Generation,Computer Vision,105,2194,54472
Video Classification,General,104,452,114234
Scene Classification,General,104,452,114234
Audio Generation,Computer Vision,104,270,54472
Fault Detection,General,104,510,114234
Cross-Modal Retrieval,Computer Vision,104,522,54472
Incremental Learning,Computer Vision,104,1370,54472
Spatial Reasoning,General,104,451,114234
Weakly-supervised Learning,General,104,612,114234
Fairness,Reinforcement Learning,104,5656,6988
Large Language Model,Graphs,104,6093,12318
